name,value
venuearena_barueri,-0.29800
venuearena_do_calcado,-0.32300
venueestadio_do_vale,-0.34000
venuebrinco_de_ouro,-0.35800
venuefernando_charub_farah,-0.38200
venuearena_verde,-0.38600
home.teamboa_esporte_mg,-0.39100
venuecoaracy_fonseca,-0.40800
venueromeirao,-0.42700
home.teamatletico_go,-0.45800
home.teamportuguesa_sp,-0.57100
venueraulino_de_oliveira,-0.64000
venuebruno_jose_daniel,-0.64600
venuemelao,-0.66800
venueiberezao,-0.67900
home.teamgremio_barueri,-0.71800
division2,-0.74400
venueolimpico_colosso_da_lagoa,-0.84800
home.teamamerica_mg,-0.91900
home.teamamerica_rn,-0.95200
home.teamguaratingueta,-1.02000
venuemunicipal_dos_amaros,-1.12000
venuemartins_pereira,-1.25000
venuenabi_abi_chedid,-1.32000
venuejuscelino_kubitschek,-1.36000
venuewillie_davis,-1.37000
home.teamsao_caetano,-1.87000
home.teamipatinga_mg,-2.24000
